Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
MCKENZIE,14399.00,301,26.10%,544,"55,084"
BENJAMIN,14299.00,302,39.20%,868,"36,439"
POPE,14277.00,303,23.10%,486,"61,750"
CUMMINGS,14099.00,304,18.40%,372,"76,707"
MOODY,14052.00,305,22.50%,479,"62,344"
KELLEY,14044.00,306,10.20%,184,"137,555"
SMALL,13998.00,307,30.50%,681,"45,850"
WEAVER,13909.00,308,10.00%,179,"138,811"
WOOD,13873.00,309,5.60%,75,"247,299"
WHITFIELD,13853.00,310,48.60%,1125,"28,475"
TILLMAN,13798.00,311,47.80%,1110,"28,878"
MANNING,13794.00,312,19.10%,402,"72,069"
BULLOCK,13767.00,313,32.00%,722,"43,021"
HODGES,13698.00,314,19.90%,428,"68,868"
MCNEIL,13562.00,315,40.80%,961,"33,239"
WATERS,13506.00,316,20.50%,455,"65,817"
WILEY,13500.00,317,28.40%,653,"47,503"
CLAYTON,13477.00,318,24.60%,548,"54,875"
HARRELL,13475.00,319,27.80%,638,"48,471"
WILKERSON,13408.00,320,28.80%,670,"46,605"
BRIDGES,13347.00,321,25.50%,579,"52,260"
COTTON,13313.00,322,41.90%,1006,"31,759"
BARBER,13312.00,323,17.40%,376,"76,504"
HINTON,13297.00,324,40.00%,962,"33,209"
STANLEY,13275.00,325,14.10%,292,"93,817"
CROSS,13246.00,326,17.60%,382,"75,134"
BOWMAN,13230.00,327,12.90%,268,"102,239"
CALHOUN,13207.00,328,31.90%,757,"41,452"
BENSON,13182.00,329,15.60%,332,"84,233"
ONEAL,13165.00,330,28.50%,680,"46,161"
BURNETT,13134.00,331,22.70%,517,"57,859"
PATTON,13071.00,332,20.20%,464,"64,772"
BALDWIN,13068.00,333,16.50%,361,"79,151"
BLACKWELL,13037.00,334,28.00%,673,"46,495"
TERRELL,12992.00,335,38.30%,946,"33,914"
KNOX,12988.00,336,30.20%,724,"42,937"
GREGORY,12984.00,337,14.60%,312,"88,810"
WEBSTER,12980.00,338,18.50%,418,"70,123"
CRAIG,12964.00,339,14.50%,307,"89,591"
LLOYD,12934.00,340,21.10%,493,"61,154"
